plot;species;lat;coverage;comment;foto;processing_information
1;Kleinblütiges Springkraut;Impatiens parviflora;r;zuvor als Impatiens noli-tangere bezeichnet;20190604_134001;
1;Waldmeister;Galium odoratum;+;NA;NA;
1;Eiche;Quercus …;1;"vermutlich quercus petreae oder robur; vgl tabellen Göttlicher ";NA;
1;Einbluetiges Perlgras;Melica uniflora;r;NA;NA;
1;Große Sternmiere;Stella holostea;r;NA;NA;
1;Kleinbluetiges Springkraut;Impatiens parviflora;r;NA;20190604_134001;
1;Buschwindroeschen;Anemone nemorosa;r;NA;20190502_150801;
1;Eberesche;Sorbus aucuparia;r;NA;NA;
1;Hain-Rispengras ;Poa nemoralis;r;(Hitler-Gras) H001;NA;
1;H002;NA;r;Gras-Streifig/lanzettlich / Juncaceae;NA;ignorieren
2;Waldsauerklee;Oxalis acetosella;1;NA;20190523_142637 RB;
2;Waldmeister;Galium odoratum;2;NA;NA;
2;Maigloeckchen;NA;+;Herbstzeitlose? Colchicum autumnale, könnte sein nach Floraweb;NA;
2;Busch-Windröschen;Anemone nemorosa;1;NA;20190502_150801;
2;Rotbuche;Fagus sylvatica;1;NA;20190502_150726;
2;Traubeneiche;Quercus petraea;r;NA;20190502_150903;
2;Gewoehnliches Scharbockskraut;Ficaria verna;r;NA;NA;
2;Schwarzer Holunder;Sambucus nigra;r;NA;NA;
2;H004;NA;r;Gras breiter, nicht im herbar;NA;?
2;H005;NA;r;Grasbueschel/ Cyperaceae;NA;ignorieren
2;Zweiblaettriges Schattenbluemchen;Marianthemum biofolium;+;kleines Einblatt;NA;
3;Brombeere;Rubus fruticosus;+;NA;NA;
3;Brennessel;Urtica dioica;3;NA;NA;
3;Farn;NA;+;NA;NA;
3;Stumpfblättriger Ampfer;Rumex obtosifulius;+;welcher genau, wahrscheinlich ;NA;
3;Gewoehnliche Knoblauchrauke;Alliaria petiolata;r;NA;NA;
3;Gewoehnliches Kletten-Labkraut;Galium aparine;1;NA;NA;
3;Hain-Sternmiere;Stella nemorum;r;NA;NA;
3;Große Sternmiere;Stellaria holostea;r;NA;NA;
3;Winkel-Segge;Carex remota;r;NA;NA;
3;Wiesenschaumkraut;Cardamine pratensis;r;Wiesenschaumkraut;NA;
3;Indisches Springkraut;Impatiens glandulifera;r;Indisches Springkraut;NA;
3;Wald-Flattergras;Millium effusum;r;Gras, kleine Früchte>50;NA;
3;Echter Wurmfarn;Dryopteris filix-mas;r;Tyopteris (Farne);NA;
3;Echter Nelkenwurz;Geum urbanum;+;Echter Nelkenwurz;NA;
3;Wald-Segge;Carex sylvatica;r;Sauergras mit Aehre (Cyperacea);NA;
3;Wald-Ziest;Stachys sylvatica;r;Edel-Gamander Teucrium chamaedrys;NA;
3;Knäuel-Binse;Juncus conglomeratus;r;Juncacea (Schwammgewebe);NA;
3;H015;NA;r;"Waldsimse nicht bestimmbar; Juncaceae";NA;ignorieren
4;Große Brennessel;Urtica dioica;r;NA;NA;
4;Einblütiges Perlgras;Melica uniflora;2;falsch als Briza media ;NA;
4;Kleinblütiges Springkraut;Impatiens parviflora;r;Keimling, 4Blatt, indisches Springkraut?;NA;
4;Waldmeister;Galium odoratum;r;NA;NA;
4;Waldsauerklee;Oxalis acetosella;+;NA;20190523_142637 RB;
4;Rotbuche;Fagus sylvatica;1;NA;20190502_150726;
4;Gewoehnliches Kletten-Labkraut;Galium aparine;r;NA;NA;
4;Stieleiche;Quercus robur;r;NA;NA;
5;Waldsauerklee;Oxalis acetosella;r;NA;20190523_142637 RB;
5;Rotbuche;Fagus sylvatica;+;NA;NA;
5;Zwiebel-Zahnwurz;Cardamine bulbifera;+;NA;NA;
5;Farn;NA;r;welcher genau;NA;
5;Gewoehnliche Knoblauchrauke;Alliaria petiolata;r;NA;NA;
5;Hunds-Rose;Rosa canina;r;Rosa avensis/Rosa canina;20190523_152318;
6;Kleinblütiges Springkraut;Impatiens parviflora;1;NA;NA;
6;Farn;NA;+;NA;NA;
6;Gewoehnliches Kletten-Labkraut;Galium aparine;r;NA;NA;
6;Eiche ;Quercus …;r;(Keimling) vermutlich quercus petreae oder robur;NA;
6;Heckenkirsche /Wald-Geißblatt?;Lonicera …;r;Das nichtssagende, samtige Blaetter (Herbarium);NA;
6;Buschwindroeschen;Anemone nemorosa;r;NA;NA;
6;Gemeiner Hohlzahn;Galeopsis tetrahit;r;Herbarium zuvor als Urtica dioica gekennzeichnet;NA;
7;Winter-Linde;Tilia cordata;r;zuvor als Fraxinus excelsior / Herbar als plot 6 ?;NA;
7;Rotbuche;Fagus sylvatica;1;NA;NA;
7;Farn;NA;+;NA;NA;
8;Waldehrenpreis;Veronica chamaedrys;r;NA;NA;
8;Hain-Rispengras ;Poa nemoralis;r;NA;NA;
8;Brombeere;Rubus fruticosus;1;NA;NA;
8;Farn;NA;+;Herbar ?;NA;
8;Hainampfer;Rumex sanguineus;r;NA;NA;
8;Kleinbluetiges Springkraut;Impatiens parviflora;r;NA;NA;
8;Waldhainsimse;Luzula sylvatica;+;NA;NA;
8;Drahtschmiele;Deschampsia flexuosa;+;NA;NA;
8;Waldlabkraut;Gallium sylvaticum;r;NA;NA;
8;Igel-Segge;Carex echinata;r;Stachelkraut, Herbarium;NA;
8;Hain-Rispengras ;Poa nemoralis;+;Zeckengras, Herbarium;NA;
