"plot","class","length"
"fs-049",1,NA
"fs-049",1,NA
"fs-048",1,NA
"fs-048",1,8
"fs-048",1,10
"fs-048",1,13
"fs-048",1,6
"fs-046",1,NA
"fs-048",1,11
"dm-003",1,9
"fs-049",1,NA
"fs-049",1,NA
"fs-006",1,NA
"fs-006",1,NA
"fs-024",1,26.3
"fs-026",1,3.5
"fs-014",1,27
"fs-014",1,27
"fs-015",1,27
"fs-015",1,27
"fs-015",1,27
"fs-051",2,2
"fs-051",4,10
"fs-051",5,7
"fs-051",5,5
"fs-052",2,0.5
"fs-052",2,0.3
"fs-052",3,50
"fs-052",4,60
"fs-052",4,5
"fs-053",1,2.5
"fs-053",2,4
"fs-053",4,2
"fs-053",5,20
"fs-053",5,100
"fs-054",4,22.5
"fs-054",5,8
"fs-054",4,3
"fs-054",4,19
"fs-055",2,1.4
"fs-055",4,17
"fs-055",5,10
"fs-055",4,1
"fs-056",1,2
"fs-056",2,0.4
"fs-056",2,0.8
"fs-056",2,0.4
"fs-056",3,30
"fs-056",3,100
"fs-056",3,10
"fs-057",2,1.8
"fs-057",4,9
"fs-057",4,9
"fs-057",4,3
"fs-057",5,25
"fs-058",2,0.5
"fs-058",3,6
"fs-058",4,6
"fs-058",5,2
