"plot","class","length","level"
"fs-049",1,NA,NA
"fs-049",1,NA,NA
"fs-048",1,NA,NA
"fs-048",1,"8",10
"fs-048",1,"10",1
"fs-048",1,"13",2
"fs-048",1,"6",10
"fs-046",1,NA,NA
"fs-048",1,"11",2
"dm-003",1,"9",10
"fs-049",1,NA,NA
"fs-049",1,NA,NA
"fs-006",1,NA,NA
"fs-006",1,NA,NA
"fs-024",1,"26.3",5
"fs-026",1,"3.5",5
"fs-014",1,"27",5
"fs-014",1,"27",5
"fs-015",1,"27",5
"fs-015",1,"27",5
"fs-015",1,"27",5
"fs-051",2,"2",NA
"fs-051",4,"10",NA
"fs-051",5,"7",NA
"fs-051",5,"5",NA
"fs-052",2,"0.5",NA
"fs-052",2,"0.3",NA
"fs-052",3,"50",1
"fs-052",4,"60",NA
"fs-052",4,"5",NA
"fs-053",1,"2.5",3
"fs-053",2,"4",NA
"fs-053",4,"2",NA
"fs-053",5,"20",NA
"fs-053",5,"100",NA
"fs-054",4,"22.5",NA
"fs-054",5,"8",NA
"fs-054",4,"3",NA
"fs-054",4,"19",NA
"fs-055",2,"1.4",NA
"fs-055",4,"17",NA
"fs-055",5,"10",NA
"fs-055",4,"1",NA
"fs-056",1,"2",3
"fs-056",2,"0.4",NA
"fs-056",2,"0.8",NA
"fs-056",2,"0.4",NA
"fs-056",3,"30",1
"fs-056",3,"100",1
"fs-056",3,"10",1
"fs-057",2,"1.8",NA
"fs-057",4,"9",NA
"fs-057",4,"9",NA
"fs-057",4,"3",NA
"fs-057",5,"25",NA
"fs-058",2,"0.5",NA
"fs-058",3,"6",1
"fs-058",4,"6",NA
"fs-058",5,"2",NA
